period,year_label,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
Jul 2023–Jun 2024,2023/24,Golf,4.364,7.12,1.728,1.581,2.902,3.286,3.268,4.8,6.14,6.017
Jul 2023–Jun 2024,2023/24,Gridiron,0.044,0.065,0.025,0.21,0.1,0.122,0.015,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Guides,0.009,0.01,0.008,0.0,0.038,0.014,0.015,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Gymnastics,0.525,0.453,0.589,1.001,1.365,0.644,0.649,0.532,0.139,0.041
Jul 2023–Jun 2024,2023/24,Handball,0.142,0.201,0.085,1.391,0.272,0.117,0.079,0.099,0.0,0.008
Jul 2023–Jun 2024,2023/24,Harness racing,0.021,0.018,0.023,0.0,0.022,0.038,0.016,0.045,0.0,0.009
Jul 2023–Jun 2024,2023/24,Hockey,0.517,0.543,0.499,1.909,1.039,0.663,0.509,0.415,0.176,0.138
Jul 2023–Jun 2024,2023/24,Horse racing,0.045,0.07,0.021,0.0,0.057,0.069,0.09,0.046,0.017,0.009
Jul 2023–Jun 2024,2023/24,Ice hockey,0.061,0.09,0.02,0.111,0.103,0.087,0.109,0.046,0.017,0.01
Jul 2023–Jun 2024,2023/24,Ice racing/speed skating,0.009,0.005,0.014,0.0,0.019,0.014,0.028,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Ice skating,0.2,0.153,0.244,0.994,0.389,0.217,0.176,0.222,0.072,0.008
Jul 2023–Jun 2024,2023/24,Jet skiing,0.121,0.113,0.13,0.595,0.181,0.122,0.087,0.15,0.092,0.016
Jul 2023–Jun 2024,2023/24,Judo,0.027,0.046,0.008,0.0,0.09,0.04,0.012,0.014,0.0,0.027
Jul 2023–Jun 2024,2023/24,Jujitsu,0.188,0.303,0.078,0.389,0.321,0.365,0.206,0.171,0.043,0.018
Jul 2023–Jun 2024,2023/24,Karate,0.237,0.259,0.218,0.683,0.382,0.238,0.252,0.383,0.105,0.034
Jul 2023–Jun 2024,2023/24,Kendo,0.02,0.041,0.0,0.2,0.0,0.036,0.015,0.016,0.0,0.0
Jul 2023–Jun 2024,2023/24,Kitesurfing/kiteboarding,0.014,0.029,0.0,0.0,0.023,0.028,0.0,0.016,0.03,0.0
Jul 2023–Jun 2024,2023/24,Korfball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Kung fu wushu,0.014,0.021,0.008,0.0,0.0,0.035,0.013,0.018,0.0,0.015
Jul 2023–Jun 2024,2023/24,Lacrosse,0.043,0.042,0.038,0.128,0.184,0.0,0.074,0.031,0.0,0.0
Jul 2023–Jun 2024,2023/24,Lifesaving royal,0.005,0.005,0.005,0.0,0.0,0.013,0.014,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Lifesaving surf,0.108,0.155,0.063,0.32,0.065,0.093,0.072,0.226,0.093,0.051
Jul 2023–Jun 2024,2023/24,Luging,0.01,0.009,0.01,0.0,0.0,0.013,0.014,0.032,0.0,0.0
Jul 2023–Jun 2024,2023/24,Marching,0.006,0.005,0.007,0.0,0.0,0.0,0.013,0.014,0.011,0.0
Jul 2023–Jun 2024,2023/24,Martial arts,0.644,0.472,0.82,0.54,0.408,0.475,0.408,0.375,0.635,1.328
Jul 2023–Jun 2024,2023/24,Mixed martial arts,0.094,0.143,0.048,0.218,0.202,0.194,0.138,0.018,0.0,0.009
Jul 2023–Jun 2024,2023/24,Modern pentathlon,0.005,0.01,0.0,0.0,0.021,0.0,0.016,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Motor cycling,1.075,1.561,0.603,2.665,1.422,1.427,1.248,0.991,0.736,0.405
Jul 2023–Jun 2024,2023/24,Motor sport,0.296,0.517,0.081,0.376,0.623,0.468,0.361,0.213,0.177,0.05
Jul 2023–Jun 2024,2023/24,Mountain biking,0.725,1.172,0.27,2.144,0.727,0.492,1.023,1.195,0.54,0.161
Jul 2023–Jun 2024,2023/24,Mountain climbing,0.099,0.152,0.045,0.0,0.153,0.124,0.072,0.201,0.072,0.036
Jul 2023–Jun 2024,2023/24,Muay Thai,0.095,0.099,0.087,0.0,0.233,0.152,0.211,0.016,0.018,0.009
Jul 2023–Jun 2024,2023/24,Netball,2.021,0.605,3.396,8.172,5.538,3.067,1.878,1.005,0.267,0.037
Jul 2023–Jun 2024,2023/24,Obstacle,0.042,0.044,0.042,0.0,0.073,0.084,0.055,0.056,0.0,0.008
Jul 2023–Jun 2024,2023/24,Orienteering,0.03,0.034,0.022,0.0,0.021,0.026,0.012,0.059,0.064,0.017
Jul 2023–Jun 2024,2023/24,Outrigger canoe,0.027,0.037,0.018,0.0,0.0,0.064,0.03,0.0,0.064,0.009
Jul 2023–Jun 2024,2023/24,Oztag,0.269,0.297,0.245,0.2,1.067,0.525,0.224,0.078,0.0,0.008
Jul 2023–Jun 2024,2023/24,Paddle sports,0.198,0.195,0.204,0.0,0.112,0.274,0.245,0.208,0.222,0.157
Jul 2023–Jun 2024,2023/24,Paintball,0.044,0.064,0.02,0.0,0.062,0.142,0.027,0.051,0.0,0.0
Jul 2023–Jun 2024,2023/24,Parkour,0.029,0.051,0.009,0.189,0.062,0.052,0.03,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Petanque,0.01,0.007,0.012,0.0,0.0,0.0,0.0,0.0,0.014,0.038
Jul 2023–Jun 2024,2023/24,Physical Culture,0.042,0.027,0.057,0.0,0.021,0.088,0.016,0.017,0.041,0.063
Jul 2023–Jun 2024,2023/24,Pickleball,0.423,0.492,0.358,0.832,0.259,0.472,0.29,0.439,0.68,0.304
Jul 2023–Jun 2024,2023/24,Pilates,5.059,1.055,8.988,2.022,5.492,8.069,6.193,4.772,4.428,2.615
Jul 2023–Jun 2024,2023/24,Polo,0.003,0.005,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Polocrosse,0.007,0.015,0.0,0.0,0.021,0.0,0.015,0.016,0.0,0.0
Jul 2023–Jun 2024,2023/24,Pony Club,0.064,0.035,0.093,0.18,0.021,0.048,0.093,0.082,0.075,0.031
Jul 2023–Jun 2024,2023/24,Powerlifting,0.051,0.048,0.054,0.0,0.08,0.131,0.08,0.033,0.0,0.0
Jul 2023–Jun 2024,2023/24,Ready Steady Go Kids,0.002,0.003,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Rock climbing/Abseiling/Caving,0.467,0.518,0.402,1.289,1.078,0.692,0.609,0.257,0.122,0.056
Jul 2023–Jun 2024,2023/24,Rodeo,0.003,0.0,0.005,0.0,0.0,0.0,0.016,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Rogaining,0.01,0.021,0.0,0.0,0.0,0.012,0.017,0.033,0.0,0.0
Jul 2023–Jun 2024,2023/24,Roller Derby,0.033,0.006,0.051,0.214,0.064,0.037,0.061,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Rope skipping,0.305,0.234,0.372,0.735,0.6,0.399,0.253,0.303,0.135,0.137
Jul 2023–Jun 2024,2023/24,Rowing,0.596,0.694,0.503,1.142,0.465,0.373,0.814,0.663,0.79,0.381
Jul 2023–Jun 2024,2023/24,Rugby league,0.796,1.101,0.486,2.436,2.309,1.554,0.616,0.27,0.11,0.01
Jul 2023–Jun 2024,2023/24,Rugby union,0.32,0.504,0.134,0.311,1.024,0.618,0.279,0.165,0.082,0.008
Jul 2023–Jun 2024,2023/24,Running/jogging,15.888,18.457,13.346,28.761,27.7,26.126,19.916,14.317,7.474,1.817
Jul 2023–Jun 2024,2023/24,Sailing,0.333,0.472,0.198,0.492,0.192,0.253,0.194,0.376,0.561,0.37
Jul 2023–Jun 2024,2023/24,Scootering,0.157,0.157,0.158,0.336,0.144,0.216,0.306,0.144,0.087,0.009
Jul 2023–Jun 2024,2023/24,Scouts,0.018,0.038,0.0,0.0,0.041,0.023,0.011,0.012,0.0,0.03
Jul 2023–Jun 2024,2023/24,Sepak takraw,0.005,0.005,0.0,0.0,0.0,0.012,0.014,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Shooting,0.175,0.294,0.057,0.323,0.182,0.179,0.173,0.304,0.155,0.058
Jul 2023–Jun 2024,2023/24,Shooting sports,0.124,0.185,0.066,0.344,0.2,0.14,0.072,0.115,0.05,0.121
Jul 2023–Jun 2024,2023/24,Skate,0.473,0.469,0.439,0.802,1.179,0.727,0.651,0.37,0.078,0.019
Jul 2023–Jun 2024,2023/24,Skeleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Ski & snowboard,0.794,0.91,0.678,1.182,0.76,0.906,0.879,0.896,0.907,0.413
Jul 2023–Jun 2024,2023/24,Skirmish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Softball,0.128,0.097,0.159,0.2,0.21,0.14,0.204,0.202,0.044,0.0
Jul 2023–Jun 2024,2023/24,Sport climbing,0.436,0.51,0.353,0.495,1.233,1.002,0.353,0.206,0.071,0.007
Jul 2023–Jun 2024,2023/24,Squash,0.458,0.642,0.279,0.46,0.4,0.771,0.495,0.577,0.418,0.129
Jul 2023–Jun 2024,2023/24,Surfing,1.422,1.747,1.097,1.707,1.515,1.898,1.675,1.804,1.416,0.429
Jul 2023–Jun 2024,2023/24,Swimming,15.239,14.465,15.979,17.69,14.779,17.366,18.244,16.587,14.994,9.872
Jul 2023–Jun 2024,2023/24,Sword fighting,0.022,0.033,0.008,0.0,0.058,0.04,0.035,0.0,0.02,0.0
Jul 2023–Jun 2024,2023/24,Synchronised swimming,0.083,0.067,0.099,0.0,0.056,0.226,0.075,0.069,0.026,0.045
Jul 2023–Jun 2024,2023/24,Table tennis,1.612,2.256,0.994,4.884,3.141,1.893,1.259,1.182,0.953,0.931
Jul 2023–Jun 2024,2023/24,Taekwondo,0.178,0.177,0.151,1.204,0.434,0.049,0.273,0.101,0.035,0.01
Jul 2023–Jun 2024,2023/24,Tee ball,0.024,0.019,0.029,0.18,0.043,0.037,0.013,0.016,0.0,0.0
Jul 2023–Jun 2024,2023/24,Tennis,4.81,5.832,3.841,8.143,6.835,6.156,5.215,4.931,3.342,2.476
Jul 2023–Jun 2024,2023/24,Tenpin bowling,0.617,0.688,0.551,0.834,0.514,0.712,0.744,0.71,0.516,0.439
Jul 2023–Jun 2024,2023/24,Tobogganing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Touch football,0.783,0.924,0.655,2.098,1.831,1.475,0.656,0.52,0.214,0.046
Jul 2023–Jun 2024,2023/24,Triathlon,0.149,0.212,0.09,0.396,0.152,0.164,0.206,0.194,0.117,0.023
Jul 2023–Jun 2024,2023/24,Underwater sports,0.748,0.836,0.666,0.428,0.568,1.037,0.833,0.999,0.814,0.367
Jul 2023–Jun 2024,2023/24,Virtual based physical activity,1.024,0.983,1.019,3.321,1.853,1.657,1.277,0.658,0.236,0.157
Jul 2023–Jun 2024,2023/24,Volleyball (indoor and outdoor),1.375,1.503,1.259,10.924,3.964,1.585,0.503,0.451,0.143,0.041
Jul 2023–Jun 2024,2023/24,Walking (Recreational),49.46,42.374,56.421,26.99,33.1,41.164,47.438,57.912,65.042,54.812
Jul 2023–Jun 2024,2023/24,Water polo,0.102,0.126,0.079,0.606,0.2,0.149,0.091,0.016,0.065,0.0
Jul 2023–Jun 2024,2023/24,Waterskiing/Wakeboarding,0.2,0.238,0.165,0.408,0.41,0.328,0.072,0.287,0.078,0.06
Jul 2023–Jun 2024,2023/24,Weight lifting,1.385,1.757,1.033,1.732,2.107,2.01,1.534,1.246,0.998,0.643
Jul 2023–Jun 2024,2023/24,Wheelchair rugby,0.003,0.006,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Wood chopping,0.054,0.08,0.028,0.0,0.062,0.015,0.03,0.033,0.073,0.115
Jul 2023–Jun 2024,2023/24,Wrestling,0.033,0.064,0.0,0.0,0.045,0.092,0.016,0.048,0.016,0.0
Jul 2023–Jun 2024,2023/24,Yoga,4.894,1.527,8.17,2.69,3.698,6.584,5.859,5.961,5.178,2.783
Jan–Dec 2024,2024,Adventure racing,0.236,0.384,0.077,0.385,0.778,0.397,0.236,0.13,0.011,0.008
Jan–Dec 2024,2024,Air sports,0.355,0.494,0.208,0.64,0.668,0.675,0.492,0.089,0.211,0.034
Jan–Dec 2024,2024,Archery,0.247,0.308,0.161,0.927,0.348,0.376,0.279,0.109,0.135,0.086
Jan–Dec 2024,2024,"Athletics, track and field",1.51,1.921,1.098,5.542,3.885,2.159,1.545,0.667,0.489,0.112
Jan–Dec 2024,2024,Australian football,2.609,4.06,1.201,5.515,6.27,4.631,3.172,1.416,0.627,0.067
Jan–Dec 2024,2024,Badminton,1.848,2.183,1.526,7.628,3.758,3.307,1.821,0.779,0.352,0.155
Jan–Dec 2024,2024,Baseball,0.382,0.565,0.191,1.321,0.676,0.636,0.429,0.273,0.107,0.033
Jan–Dec 2024,2024,Basketball,4.734,6.945,2.602,16.672,11.539,7.296,5.032,2.991,0.511,0.267
Jan–Dec 2024,2024,Baton twirling,0.029,0.043,0.016,0.149,0.02,0.09,0.0,0.016,0.0,0.007
Jan–Dec 2024,2024,Biathlon,0.014,0.019,0.011,0.0,0.022,0.013,0.047,0.0,0.0,0.007
Jan–Dec 2024,2024,Billiards/Snooker/Pool,0.329,0.451,0.212,0.274,0.57,0.381,0.279,0.214,0.478,0.195
Jan–Dec 2024,2024,BMX,0.043,0.062,0.026,0.147,0.043,0.066,0.0,0.058,0.0,0.056
Jan–Dec 2024,2024,Bobsledding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Bocce/Boules,0.014,0.022,0.006,0.0,0.0,0.0,0.0,0.048,0.0,0.032
Jan–Dec 2024,2024,Boccia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Body building,0.036,0.061,0.008,0.0,0.081,0.066,0.056,0.03,0.011,0.0
Jan–Dec 2024,2024,Boomerang throwing,0.011,0.023,0.0,0.0,0.02,0.012,0.013,0.031,0.0,0.0
Jan–Dec 2024,2024,Bowls,0.885,1.209,0.582,0.142,0.115,0.375,0.351,0.399,0.972,2.607
Jan–Dec 2024,2024,Boxing,0.893,1.047,0.736,1.23,1.993,1.805,0.86,0.531,0.406,0.079
Jan–Dec 2024,2024,Broomball,0.005,0.01,0.0,0.0,0.0,0.015,0.014,0.0,0.0,0.0
Jan–Dec 2024,2024,Bush walking,16.857,15.691,18.008,13.131,15.596,20.45,18.485,20.418,19.16,9.804
Jan–Dec 2024,2024,Calisthenics,0.24,0.348,0.135,0.0,0.724,0.398,0.268,0.158,0.083,0.043
Jan–Dec 2024,2024,Campdrafting,0.022,0.026,0.019,0.0,0.0,0.047,0.059,0.015,0.0,0.007
Jan–Dec 2024,2024,Canoeing/Kayaking,0.963,1.027,0.915,1.569,0.539,0.938,0.943,1.543,1.212,0.512
Jan–Dec 2024,2024,Circus,0.043,0.021,0.061,0.0,0.075,0.111,0.087,0.0,0.0,0.0
Jan–Dec 2024,2024,Cricket,2.419,4.159,0.749,6.422,4.047,3.636,3.405,2.016,0.79,0.239
Jan–Dec 2024,2024,Croquet,0.074,0.074,0.076,0.185,0.02,0.013,0.014,0.017,0.093,0.21
Jan–Dec 2024,2024,Crossfit,0.571,0.401,0.744,0.519,0.476,1.06,0.955,0.574,0.336,0.054
Jan–Dec 2024,2024,Curling,0.011,0.023,0.0,0.0,0.022,0.013,0.026,0.0,0.016,0.0
Jan–Dec 2024,2024,Cycling,8.589,10.608,6.619,6.223,6.193,7.328,9.963,11.884,11.946,5.705
Jan–Dec 2024,2024,DanceSport,1.047,0.34,1.692,3.57,2.607,1.489,1.041,0.393,0.385,0.231
Jan–Dec 2024,2024,Dancing (recreational),1.778,0.615,2.863,2.671,2.25,1.766,2.185,1.374,1.36,1.587
Jan–Dec 2024,2024,Darts,0.16,0.235,0.084,0.267,0.131,0.188,0.224,0.106,0.188,0.095
Jan–Dec 2024,2024,Diving,0.049,0.066,0.033,0.0,0.057,0.104,0.077,0.059,0.0,0.009
Jan–Dec 2024,2024,Dodgeball,0.076,0.093,0.057,0.582,0.037,0.145,0.094,0.014,0.015,0.0
Jan–Dec 2024,2024,Dragon boat racing,0.049,0.039,0.06,0.0,0.0,0.08,0.0,0.077,0.074,0.062
Jan–Dec 2024,2024,Eight ball,0.043,0.05,0.038,0.0,0.17,0.055,0.027,0.03,0.043,0.0
Jan–Dec 2024,2024,Equestrian,0.443,0.143,0.731,0.336,0.649,0.559,0.66,0.462,0.371,0.117
Jan–Dec 2024,2024,eSports,0.275,0.421,0.128,1.112,0.591,0.471,0.319,0.112,0.031,0.007
Jan–Dec 2024,2024,Fencing,0.076,0.111,0.044,0.699,0.0,0.067,0.076,0.067,0.04,0.023
Jan–Dec 2024,2024,Fishing (recreational),1.21,1.9,0.555,0.55,0.589,1.156,1.032,1.763,1.553,1.241
Jan–Dec 2024,2024,Fitness/Gym,30.331,28.789,31.931,29.717,38.312,38.898,31.877,28.776,25.549,21.989
Jan–Dec 2024,2024,Floorball,0.006,0.009,0.004,0.0,0.021,0.022,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Flying disc,0.237,0.357,0.124,0.523,0.458,0.411,0.3,0.152,0.089,0.021
Jan–Dec 2024,2024,Football/soccer,5.437,8.744,2.248,17.529,12.199,8.564,6.417,3.68,0.911,0.126
Jan–Dec 2024,2024,Gaelic football,0.037,0.067,0.007,0.0,0.083,0.126,0.014,0.016,0.0,0.0
Jan–Dec 2024,2024,Geocaching,0.028,0.033,0.023,0.0,0.072,0.024,0.048,0.016,0.039,0.0
Jan–Dec 2024,2024,Goalball,0.012,0.016,0.007,0.0,0.016,0.039,0.017,0.0,0.0,0.0
Jan–Dec 2024,2024,Golf,4.685,7.593,1.892,1.551,2.977,3.706,3.181,5.113,6.877,6.548
Jan–Dec 2024,2024,Gridiron,0.062,0.093,0.033,0.0,0.207,0.156,0.045,0.027,0.0,0.0
Jan–Dec 2024,2024,Guides,0.009,0.01,0.008,0.0,0.038,0.014,0.0,0.017,0.0,0.0
Jan–Dec 2024,2024,Gymnastics,0.557,0.437,0.673,1.554,1.309,0.686,0.742,0.471,0.086,0.066
Jan–Dec 2024,2024,Handball,0.146,0.185,0.111,0.971,0.318,0.169,0.121,0.093,0.0,0.017
Jan–Dec 2024,2024,Harness racing,0.018,0.014,0.023,0.0,0.0,0.01,0.031,0.062,0.0,0.008
Jan–Dec 2024,2024,Hockey,0.448,0.449,0.45,1.206,0.829,0.576,0.447,0.422,0.29,0.105
Jan–Dec 2024,2024,Horse racing,0.04,0.029,0.051,0.182,0.019,0.017,0.095,0.046,0.016,0.008
Jan–Dec 2024,2024,Ice hockey,0.06,0.094,0.018,0.257,0.126,0.034,0.115,0.014,0.048,0.0
Jan–Dec 2024,2024,Ice racing/speed skating,0.009,0.005,0.013,0.0,0.04,0.0,0.013,0.016,0.0,0.0
Jan–Dec 2024,2024,Ice skating,0.213,0.166,0.261,1.3,0.442,0.145,0.247,0.18,0.075,0.008
Jan–Dec 2024,2024,Jet skiing,0.086,0.064,0.104,0.219,0.133,0.135,0.084,0.078,0.058,0.019
Jan–Dec 2024,2024,Judo,0.044,0.069,0.021,0.0,0.197,0.063,0.044,0.0,0.016,0.009
Jan–Dec 2024,2024,Jujitsu,0.2,0.319,0.088,0.531,0.315,0.399,0.266,0.119,0.045,0.008
Jan–Dec 2024,2024,Karate,0.232,0.235,0.223,0.633,0.402,0.17,0.294,0.397,0.11,0.023
Jan–Dec 2024,2024,Kendo,0.009,0.019,0.0,0.0,0.022,0.021,0.018,0.0,0.0,0.0
Jan–Dec 2024,2024,Kitesurfing/kiteboarding,0.019,0.029,0.01,0.0,0.023,0.028,0.015,0.016,0.05,0.0
Jan–Dec 2024,2024,Korfball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Kung fu wushu,0.012,0.016,0.008,0.0,0.0,0.022,0.028,0.0,0.0,0.015
Jan–Dec 2024,2024,Lacrosse,0.029,0.029,0.023,0.168,0.066,0.0,0.045,0.029,0.016,0.0
Jan–Dec 2024,2024,Lifesaving royal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Lifesaving surf,0.141,0.209,0.072,0.515,0.163,0.138,0.16,0.215,0.044,0.046
Jan–Dec 2024,2024,Luging,0.004,0.004,0.004,0.0,0.0,0.012,0.0,0.014,0.0,0.0
Jan–Dec 2024,2024,Marching,0.004,0.0,0.008,0.0,0.0,0.0,0.015,0.0,0.011,0.0
Jan–Dec 2024,2024,Martial arts,0.678,0.518,0.838,1.2,0.371,0.501,0.358,0.487,0.664,1.286
Jan–Dec 2024,2024,Mixed martial arts,0.082,0.131,0.035,0.214,0.141,0.24,0.054,0.018,0.0,0.009
Jan–Dec 2024,2024,Modern pentathlon,0.007,0.015,0.0,0.0,0.021,0.014,0.016,0.0,0.0,0.0
